bet_id,bet_date,pitcher,strike,side,stratum,result,raw,iso,platt,iso_used_global,fire_raw,fire_iso,pnl_production,pnl_iso_replay
8466,2026-04-27,Parker Messick,5,YES,YES_5-6,win,0.6783,0.4286,0.4171,0,1,0,40.56,0.00
8467,2026-04-27,Parker Messick,6,YES,YES_5-6,win,0.5256,0.4167,0.4034,0,1,0,74.15,0.00
8468,2026-04-27,Parker Messick,5,YES,YES_5-6,win,0.6783,0.4286,0.4171,0,1,0,24.15,0.00
8469,2026-04-27,Parker Messick,6,YES,YES_5-6,win,0.5256,0.4167,0.4034,0,1,0,40.51,0.00
8474,2026-04-27,Luis Castillo,5,YES,YES_5-6,loss,0.7185,0.5000,0.4212,0,1,0,-51.15,0.00
8475,2026-04-27,Luis Castillo,6,YES,YES_5-6,loss,0.5729,0.4167,0.4075,0,1,0,-40.80,0.00
8476,2026-04-27,Luis Castillo,5,YES,YES_5-6,loss,0.7185,0.5000,0.4212,0,1,0,-29.07,0.00
8477,2026-04-27,Luis Castillo,6,YES,YES_5-6,loss,0.5729,0.4167,0.4075,0,1,0,-27.00,0.00
8488,2026-04-27,Anthony Kay,4,YES,YES_3-4,loss,0.7067,0.6364,0.6842,0,1,0,-37.70,0.00
8489,2026-04-27,Anthony Kay,5,YES,YES_5-6,loss,0.5332,0.4167,0.4040,0,1,0,-31.54,0.00
8490,2026-04-27,Anthony Kay,4,YES,YES_3-4,loss,0.7067,0.6364,0.6842,0,1,0,-23.20,0.00
8491,2026-04-27,Anthony Kay,5,YES,YES_5-6,loss,0.5332,0.4167,0.4040,0,1,0,-19.38,0.00
8492,2026-04-27,Jack Kochanowicz,3,YES,YES_3-4,win,0.8752,1.0000,0.9378,0,1,1,10.68,10.68
8493,2026-04-27,Jack Kochanowicz,4,YES,YES_3-4,win,0.7414,0.6364,0.7481,0,1,0,21.15,0.00
8494,2026-04-27,Jack Kochanowicz,5,YES,YES_5-6,win,0.5759,0.4167,0.4077,0,1,1,50.40,50.40
8495,2026-04-27,Jack Kochanowicz,6,YES,YES_5-6,loss,0.4089,0.4091,0.3935,0,1,1,-3.84,-3.84
8496,2026-04-27,Jack Kochanowicz,3,YES,YES_3-4,win,0.8752,1.0000,0.9378,0,1,1,9.11,9.11
8497,2026-04-27,Jack Kochanowicz,4,YES,YES_3-4,void,0.7414,0.6364,0.7481,0,1,0,0.00,0.00
8498,2026-04-27,Jack Kochanowicz,5,YES,YES_5-6,void,0.5759,0.4167,0.4077,0,1,1,0.00,0.00
8499,2026-04-27,Jack Kochanowicz,6,YES,YES_5-6,void,0.4089,0.4091,0.3935,0,1,1,0.00,0.00
8500,2026-04-27,Jack Leiter,6,YES,YES_5-6,loss,0.6755,0.4286,0.4168,0,1,0,-58.30,0.00
8501,2026-04-27,Jack Leiter,6,YES,YES_5-6,loss,0.6755,0.4286,0.4168,0,1,0,-29.15,0.00
8502,2026-04-27,Max Fried,6,YES,YES_5-6,loss,0.7073,0.4286,0.4200,0,1,0,-9.12,0.00
8503,2026-04-27,Max Fried,6,YES,YES_5-6,loss,0.7073,0.4286,0.4200,0,1,0,-29.07,0.00
8504,2026-04-27,Matthew Boyd,5,YES,YES_5-6,loss,0.7385,0.5000,0.4233,0,1,0,-29.64,0.00
8507,2026-04-27,Randy Vásquez,5,YES,YES_5-6,loss,0.5562,0.4167,0.4060,0,1,0,-29.40,0.00
8511,2026-04-27,Matthew Boyd,6,YES,YES_5-6,loss,0.6033,0.4167,0.4101,0,1,0,-26.91,0.00
8512,2026-04-27,Chris Paddack,3,YES,YES_3-4,loss,0.9088,1.0000,0.9662,0,1,1,-26.18,-26.18
8516,2026-04-27,Chris Paddack,4,YES,YES_3-4,loss,0.7854,0.6364,0.8223,0,1,0,-19.84,0.00
8518,2026-04-27,Chris Paddack,5,YES,YES_5-6,loss,0.6380,0.4167,0.4133,0,1,0,-18.00,0.00
8519,2026-04-27,Chris Paddack,6,YES,YES_5-6,loss,0.4802,0.4091,0.3996,0,1,1,-14.00,-14.00
8520,2026-04-27,Randy Vásquez,5,YES,YES_5-6,loss,0.5562,0.4167,0.4060,0,1,0,-29.40,0.00
8523,2026-04-27,Matthew Boyd,5,YES,YES_5-6,loss,0.7385,0.5000,0.4233,0,1,0,-29.07,0.00
8527,2026-04-27,Matthew Boyd,6,YES,YES_5-6,loss,0.6033,0.4167,0.4101,0,1,0,-26.91,0.00
8528,2026-04-27,Chris Paddack,3,YES,YES_3-4,loss,0.9088,1.0000,0.9662,0,1,1,-26.18,-26.18
8532,2026-04-27,Chris Paddack,4,YES,YES_3-4,loss,0.7854,0.6364,0.8223,0,1,0,-19.84,0.00
8534,2026-04-27,Chris Paddack,5,YES,YES_5-6,loss,0.6380,0.4167,0.4133,0,1,0,-18.00,0.00
8535,2026-04-27,Chris Paddack,6,YES,YES_5-6,void,0.4802,0.4091,0.3996,0,1,1,0.00,0.00
8536,2026-04-27,Dylan Cease,8,YES,YES_7-8,loss,0.8057,1.0000,0.8281,0,1,1,-25.85,-25.85
8537,2026-04-27,Dylan Cease,9,YES,YES_9+,loss,0.7209,1.0000,0.8158,0,1,1,-25.84,-25.84
8538,2026-04-27,Dylan Cease,10,YES,YES_9+,loss,0.6264,1.0000,0.8158,0,1,1,-24.25,-24.25
8539,2026-04-27,Dylan Cease,9,YES,YES_9+,loss,0.7209,1.0000,0.8158,0,1,1,-17.10,-17.10
8540,2026-04-27,Dylan Cease,8,YES,YES_7-8,loss,0.8057,1.0000,0.8281,0,1,1,-16.92,-16.92
8541,2026-04-27,Dylan Cease,10,YES,YES_9+,loss,0.6264,1.0000,0.8158,0,1,1,-16.00,-16.00
8874,2026-04-28,Nick Martinez,5,YES,YES_5-6,loss,0.4773,0.4091,0.3993,0,1,1,-0.62,-0.62
8875,2026-04-28,Nick Martinez,5,YES,YES_5-6,loss,0.4773,0.4091,0.3993,0,1,1,-14.88,-14.88
8876,2026-04-28,Payton Tolle,6,YES,YES_5-6,loss,0.6834,0.4286,0.4176,0,1,0,-37.31,0.00
8877,2026-04-28,Payton Tolle,7,YES,YES_7-8,loss,0.5534,0.2000,0.3737,0,1,0,-35.19,0.00
8878,2026-04-28,Casey Mize,6,YES,YES_5-6,loss,0.5026,0.4091,0.4015,0,1,0,-49.28,0.00
8879,2026-04-28,Casey Mize,6,YES,YES_5-6,void,0.5026,0.4091,0.4015,0,1,0,0.00,0.00
8880,2026-04-28,Kai-Wei Teng,4,YES,YES_3-4,loss,0.8743,1.0000,0.9370,0,1,1,-35.20,-35.20
8881,2026-04-28,Kai-Wei Teng,6,YES,YES_5-6,loss,0.6312,0.4167,0.4126,0,1,1,-29.70,-29.70
8882,2026-04-28,Kai-Wei Teng,4,YES,YES_3-4,loss,0.8743,1.0000,0.9370,0,1,1,-25.60,-25.60
8883,2026-04-28,Kai-Wei Teng,6,YES,YES_5-6,loss,0.6312,0.4167,0.4126,0,1,1,-21.75,-21.75
8884,2026-04-28,Chad Patrick,5,YES,YES_5-6,win,0.5132,0.4167,0.4024,0,1,0,9.23,0.00
8885,2026-04-28,Chad Patrick,5,YES,YES_5-6,void,0.5132,0.4167,0.4024,0,1,0,0.00,0.00
8886,2026-04-28,José Soriano,7,YES,YES_7-8,loss,0.6148,1.0000,0.5313,0,1,1,-54.00,-54.00
8887,2026-04-28,José Soriano,7,YES,YES_7-8,loss,0.6148,1.0000,0.5313,0,1,1,-39.60,-39.60
8888,2026-04-28,Cam Schlittler,7,YES,YES_7-8,win,0.6063,1.0000,0.5088,0,1,1,68.08,68.08
8889,2026-04-28,Cam Schlittler,7,YES,YES_7-8,win,0.6063,1.0000,0.5088,0,1,1,50.22,50.22
8890,2026-04-28,Merrill Kelly,6,YES,YES_5-6,loss,0.5317,0.4167,0.4039,0,1,0,-29.58,0.00
8891,2026-04-28,Merrill Kelly,6,YES,YES_5-6,loss,0.5317,0.4167,0.4039,0,1,0,0.00,0.00
8892,2026-04-28,Kris Bubic,7,YES,YES_7-8,loss,0.6922,1.0000,0.7300,0,1,1,-28.22,-28.22
8893,2026-04-28,Kris Bubic,7,YES,YES_7-8,loss,0.6922,1.0000,0.7300,0,1,1,-11.90,-11.90
8894,2026-04-28,Kris Bubic,8,YES,YES_7-8,loss,0.5693,0.2000,0.4128,0,1,0,0.00,0.00
8895,2026-04-28,Kris Bubic,8,YES,YES_7-8,loss,0.5693,0.2000,0.4128,0,1,0,0.00,0.00
8900,2026-04-28,Walker Buehler,5,YES,YES_5-6,loss,0.4673,0.4091,0.3985,0,1,1,-9.92,-9.92
8901,2026-04-28,Walker Buehler,5,YES,YES_5-6,loss,0.4673,0.4091,0.3985,0,1,1,0.00,0.00
9110,2026-04-29,Gavin Williams,7,YES,YES_7-8,win,0.5556,0.2000,0.3790,0,1,0,38.35,0.00
9111,2026-04-29,Gavin Williams,7,YES,YES_7-8,win,0.5556,0.2000,0.3790,0,1,0,57.20,0.00
9112,2026-04-29,Drew Rasmussen,5,YES,YES_5-6,win,0.6337,0.4167,0.4129,0,1,0,14.56,0.00
9113,2026-04-29,Drew Rasmussen,5,YES,YES_5-6,win,0.6337,0.4167,0.4129,0,1,0,9.88,0.00
9114,2026-04-29,Drew Rasmussen,6,YES,YES_5-6,win,0.4755,0.4091,0.3992,0,1,1,30.53,30.53
9115,2026-04-29,Drew Rasmussen,6,YES,YES_5-6,win,0.4755,0.4091,0.3992,0,1,1,20.59,20.59
9116,2026-04-29,Taj Bradley,7,YES,YES_7-8,win,0.4869,0.1714,0.2328,0,1,0,14.30,0.00
9118,2026-04-29,Taj Bradley,7,NO,NO_7-8,loss,0.4869,0.6571,1.0000,0,1,1,-7.26,-7.26
9119,2026-04-29,George Kirby,6,YES,YES_5-6,loss,0.5697,0.4167,0.4072,0,1,0,-12.71,0.00
9120,2026-04-29,George Kirby,6,YES,YES_5-6,loss,0.5697,0.4167,0.4072,0,1,0,-8.61,0.00
9121,2026-04-29,George Kirby,6,NO,NO_5-6,win,0.5697,0.6966,0.2275,0,1,1,-12.09,-12.09
9122,2026-04-29,George Kirby,7,YES,YES_7-8,loss,0.4183,0.1714,0.1305,0,1,0,-10.40,0.00
9123,2026-04-29,Erick Fedde,5,YES,YES_5-6,win,0.5496,0.4167,0.4055,0,1,0,26.95,0.00
9124,2026-04-29,Erick Fedde,5,YES,YES_5-6,win,0.5496,0.4167,0.4055,0,1,0,39.26,0.00
9125,2026-04-29,Yusei Kikuchi,7,YES,YES_7-8,loss,0.5676,0.2000,0.4084,0,1,0,-19.84,0.00
9126,2026-04-29,Yusei Kikuchi,7,YES,YES_7-8,loss,0.5676,0.2000,0.4084,0,1,0,-1.86,0.00
9127,2026-04-29,Nathan Eovaldi,7,YES,YES_7-8,win,0.4489,0.1714,0.1708,0,1,0,10.20,0.00
9128,2026-04-29,Nathan Eovaldi,7,YES,YES_7-8,win,0.4489,0.1714,0.1708,0,1,0,0.00,0.00
9129,2026-04-29,Tyler Glasnow,8,YES,YES_7-8,win,0.6286,1.0000,0.5682,0,1,1,38.35,38.35
9130,2026-04-29,Tyler Glasnow,8,YES,YES_7-8,win,0.6286,1.0000,0.5682,0,1,1,27.14,27.14
9131,2026-04-29,Tyler Glasnow,8,NO,NO_7-8,loss,0.6286,0.6571,1.0000,0,1,1,-25.35,-25.35
9132,2026-04-29,Matt Waldron,4,YES,YES_3-4,loss,0.7783,0.6364,0.8110,0,1,1,-10.92,-10.92
9133,2026-04-29,Matt Waldron,5,YES,YES_5-6,loss,0.6236,0.4167,0.4119,0,1,1,-9.30,-9.30
9134,2026-04-29,Jameson Taillon,5,YES,YES_5-6,win,0.6331,0.4167,0.4128,0,1,0,22.23,0.00
9135,2026-04-29,Jameson Taillon,5,YES,YES_5-6,win,0.6331,0.4167,0.4128,0,1,0,-23.22,0.00
9139,2026-04-29,Tomoyuki Sugano,5,YES,YES_5-6,loss,0.4712,0.4091,0.3988,0,1,0,-8.16,0.00
9140,2026-04-29,Tomoyuki Sugano,5,YES,YES_5-6,loss,0.4712,0.4091,0.3988,0,1,0,-10.54,0.00
9173,2026-04-29,David Peterson,7,YES,YES_7-8,loss,0.5110,0.1714,0.2793,0,1,0,-28.50,0.00
9174,2026-04-29,David Peterson,7,YES,YES_7-8,loss,0.5110,0.1714,0.2793,0,1,0,-19.75,0.00
9177,2026-04-29,Andre Pallante,6,YES,YES_5-6,win,0.4809,0.4091,0.3996,0,1,1,54.41,54.41
9178,2026-04-29,Andre Pallante,6,YES,YES_5-6,win,0.4809,0.4091,0.3996,0,1,1,80.52,80.52
9207,2026-04-29,Brandon Sproat,5,YES,YES_5-6,win,0.5083,0.4091,0.4019,0,1,0,31.55,0.00
9208,2026-04-29,Brandon Sproat,5,YES,YES_5-6,win,0.5083,0.4091,0.4019,0,1,0,20.83,0.00
9295,2026-04-29,Luis Severino,6,YES,YES_5-6,win,0.6025,0.4167,0.4100,0,1,0,31.62,0.00
9296,2026-04-29,Luis Severino,6,YES,YES_5-6,win,0.6025,0.4167,0.4100,0,1,0,17.07,0.00
9297,2026-04-29,Luis Severino,7,YES,YES_7-8,win,0.4578,0.1714,0.1841,0,1,0,54.14,0.00
9299,2026-04-29,Michael Wacha,6,YES,YES_5-6,loss,0.5555,0.4167,0.4060,0,1,1,-17.94,-17.94
9300,2026-04-29,Michael Wacha,6,YES,YES_5-6,loss,0.5555,0.4167,0.4060,0,1,1,-15.08,-15.08
9341,2026-04-29,Michael Wacha,7,NO,NO_7-8,win,0.5000,0.6571,1.0000,0,0,0,1.42,0.00
9342,2026-04-29,Michael Wacha,8,NO,NO_7-8,win,0.5000,0.6571,1.0000,0,0,0,0.42,0.00
9362,2026-04-30,Bryce Elder,6,YES,YES_5-6,loss,0.5813,0.4167,0.4082,0,1,0,-40.25,0.00
9363,2026-04-30,Bryce Elder,6,YES,YES_5-6,loss,0.5813,0.4167,0.4082,0,1,0,-22.05,0.00
9388,2026-04-30,Chris Bassitt,5,NO,NO_5-6,loss,0.1150,0.6966,0.9764,0,0,1,-30.96,-30.96
9389,2026-04-30,Chris Bassitt,5,NO,NO_5-6,loss,0.1150,0.6966,0.9764,0,0,1,-16.77,-16.77
9390,2026-04-30,Lance McCullers Jr.,6,YES,YES_5-6,loss,0.6619,0.4167,0.4155,0,1,1,44.88,44.88
9391,2026-04-30,Lance McCullers Jr.,6,YES,YES_5-6,loss,0.6619,0.4167,0.4155,0,1,1,81.60,81.60
9392,2026-04-30,Peter Lambert,6,YES,YES_5-6,loss,0.7178,0.5000,0.4211,0,1,1,-39.00,-39.00
9393,2026-04-30,Peter Lambert,6,YES,YES_5-6,loss,0.7178,0.5000,0.4211,0,1,1,-21.45,-21.45
9394,2026-04-30,Peter Lambert,7,YES,YES_7-8,loss,0.5935,1.0000,0.4749,0,1,1,-16.72,-16.72
9395,2026-04-30,Peter Lambert,7,YES,YES_7-8,loss,0.5935,1.0000,0.4749,0,1,1,-9.02,-9.02
9396,2026-04-30,Jeffrey Springs,6,YES,YES_5-6,loss,0.6131,0.4167,0.4110,0,1,1,-9.90,-9.90
9397,2026-04-30,Jeffrey Springs,6,YES,YES_5-6,loss,0.6131,0.4167,0.4110,0,1,1,-18.30,-18.30
9398,2026-04-30,Jeffrey Springs,7,YES,YES_7-8,loss,0.4691,0.1714,0.2020,0,1,0,-8.55,0.00
9399,2026-04-30,Jeffrey Springs,7,YES,YES_7-8,loss,0.4691,0.1714,0.2020,0,1,0,-15.45,0.00
9424,2026-04-30,Bailey Ober,6,YES,YES_5-6,loss,0.5241,0.4167,0.4033,0,1,1,-13.02,-13.02
9425,2026-04-30,Bailey Ober,6,YES,YES_5-6,loss,0.5241,0.4167,0.4033,0,1,1,0.00,0.00
9426,2026-04-30,Kevin Gausman,7,YES,YES_7-8,loss,0.4915,0.1714,0.2412,0,1,0,-21.12,0.00
9427,2026-04-30,Kevin Gausman,7,YES,YES_7-8,loss,0.4915,0.1714,0.2412,0,1,0,-11.52,0.00