schedule,thinness_class,n,flipped_to_skip,delta_brier,delta_logloss,sum_pnl_orig,sum_pnl_blend_fixed,delta_roi_fixed,sum_pnl_blend_kelly,delta_roi_kelly,median_lambda_shift
T0.00_M0.00,mid,111,0,0.000000,0.000000,-500.45,-500.45,0.00,-500.45,0.00,0.0000
T0.00_M0.00,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.00_M0.00,thin,22,0,0.000000,0.000000,-28.72,-28.72,0.00,-28.72,0.00,0.0000
T0.00_M0.05,mid,111,2,-0.000718,-0.001542,-500.45,-441.74,58.71,-431.28,69.17,0.0000
T0.00_M0.05,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.00_M0.05,thin,22,0,0.000000,0.000000,-28.72,-28.72,0.00,-28.72,0.00,0.0000
T0.00_M0.10,mid,111,2,-0.001430,-0.003069,-500.45,-441.74,58.71,-420.81,79.64,0.0000
T0.00_M0.10,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.00_M0.10,thin,22,0,0.000000,0.000000,-28.72,-28.72,0.00,-28.72,0.00,0.0000
T0.10_M0.00,mid,111,0,0.000000,0.000000,-500.45,-500.45,0.00,-500.45,0.00,0.0000
T0.10_M0.00,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.10_M0.00,thin,22,0,0.000980,0.002174,-28.72,-28.72,0.00,-31.73,-3.01,0.0000
T0.10_M0.05,mid,111,2,-0.000718,-0.001542,-500.45,-441.74,58.71,-431.28,69.17,0.0000
T0.10_M0.05,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.10_M0.05,thin,22,0,0.000980,0.002174,-28.72,-28.72,0.00,-31.73,-3.01,0.0000
T0.10_M0.10,mid,111,2,-0.001430,-0.003069,-500.45,-441.74,58.71,-420.81,79.64,0.0000
T0.10_M0.10,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.10_M0.10,thin,22,0,0.000980,0.002174,-28.72,-28.72,0.00,-31.73,-3.01,0.0000
T0.20_M0.00,mid,111,0,0.000000,0.000000,-500.45,-500.45,0.00,-500.45,0.00,0.0000
T0.20_M0.00,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.20_M0.00,thin,22,0,0.001983,0.004386,-28.72,-28.72,0.00,-34.77,-6.05,0.0000
T0.20_M0.05,mid,111,2,-0.000718,-0.001542,-500.45,-441.74,58.71,-431.28,69.17,0.0000
T0.20_M0.05,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.20_M0.05,thin,22,0,0.001983,0.004386,-28.72,-28.72,0.00,-34.77,-6.05,0.0000
T0.20_M0.10,mid,111,2,-0.001430,-0.003069,-500.45,-441.74,58.71,-420.81,79.64,0.0000
T0.20_M0.10,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.20_M0.10,thin,22,0,0.001983,0.004386,-28.72,-28.72,0.00,-34.77,-6.05,0.0000
T0.30_M0.00,mid,111,0,0.000000,0.000000,-500.45,-500.45,0.00,-500.45,0.00,0.0000
T0.30_M0.00,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.30_M0.00,thin,22,0,0.003008,0.006638,-28.72,-28.72,0.00,-37.84,-9.12,0.0000
T0.30_M0.05,mid,111,2,-0.000718,-0.001542,-500.45,-441.74,58.71,-431.28,69.17,0.0000
T0.30_M0.05,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.30_M0.05,thin,22,0,0.003008,0.006638,-28.72,-28.72,0.00,-37.84,-9.12,0.0000
T0.30_M0.10,mid,111,2,-0.001430,-0.003069,-500.45,-441.74,58.71,-420.81,79.64,0.0000
T0.30_M0.10,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.30_M0.10,thin,22,0,0.003008,0.006638,-28.72,-28.72,0.00,-37.84,-9.12,0.0000
T0.40_M0.00,mid,111,0,0.000000,0.000000,-500.45,-500.45,0.00,-500.45,0.00,0.0000
T0.40_M0.00,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.40_M0.00,thin,22,0,0.004056,0.008930,-28.72,-28.72,0.00,-40.92,-12.20,0.0000
T0.40_M0.05,mid,111,2,-0.000718,-0.001542,-500.45,-441.74,58.71,-431.28,69.17,0.0000
T0.40_M0.05,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.40_M0.05,thin,22,0,0.004056,0.008930,-28.72,-28.72,0.00,-40.92,-12.20,0.0000
T0.40_M0.10,mid,111,2,-0.001430,-0.003069,-500.45,-441.74,58.71,-420.81,79.64,0.0000
T0.40_M0.10,stable,168,0,0.000000,0.000000,231.33,231.33,0.00,231.33,0.00,0.0000
T0.40_M0.10,thin,22,0,0.004056,0.008930,-28.72,-28.72,0.00,-40.92,-12.20,0.0000