bet_id,bet_date,pitcher,strike,side,result,production_pnl,production_size,feasibility,trust_level,decision,judge_reason,edge,kelly_eff,oracle_size,oracle_pnl
6943,2026-04-24,Paul Skenes,6,NO,loss,-11.78,31.00,strong,high,skip,insufficient_edge,0.0348,0.0904,0.00,0.00
6944,2026-04-24,Andrew Abbott,5,NO,void,0.00,21.00,strong,high,fire,fire,0.3970,0.7026,200.00,0.00
6945,2026-04-24,Brandon Woodruff,6,NO,win,17.69,29.00,strong,high,skip,insufficient_edge,0.0460,0.1003,0.00,0.00
6946,2026-04-24,Paul Skenes,7,NO,void,0.00,17.00,strong,high,fire,fire,0.3448,0.6103,200.00,0.00
6947,2026-04-24,Michael Lorenzen,4,NO,void,0.00,21.00,strong,high,skip,insufficient_edge,0.0783,0.1800,0.00,0.00
6948,2026-04-24,Max Scherzer,4,NO,void,0.00,20.00,strong,high,skip,insufficient_edge,0.0629,0.1230,0.00,0.00
6949,2026-04-24,Freddy Peralta,7,NO,void,0.00,17.00,strong,high,fire,fire,0.1343,0.2827,200.00,0.00
6950,2026-04-24,Framber Valdez,6,NO,win,2.44,16.00,strong,high,fire,fire,0.1901,0.3802,200.00,30.50
6951,2026-04-24,Brandon Woodruff,7,NO,win,5.20,13.00,strong,high,fire,fire,0.3850,0.5454,200.00,80.00
6952,2026-04-24,Paul Skenes,8,NO,void,0.00,11.00,strong,high,fire,fire,0.5670,0.8158,200.00,0.00
6953,2026-04-24,Michael Lorenzen,5,NO,win,4.43,12.00,strong,high,fire,fire,0.4424,0.6967,200.00,73.83
6954,2026-04-24,Gavin Williams,6,YES,loss,-6.41,14.00,strong,high,fire,fire,0.1552,0.2772,200.00,-91.57
6955,2026-04-24,Andrew Abbott,6,NO,win,2.50,10.00,strong,high,fire,fire,0.6634,0.8964,200.00,50.00
6956,2026-04-24,Framber Valdez,5,NO,win,12.80,20.00,viable,high,skip,insufficient_edge,-0.1140,0.0000,0.00,0.00
6957,2026-04-24,Brandon Woodruff,8,NO,void,0.00,10.00,strong,high,fire,fire,0.5907,0.7022,200.00,0.00
6958,2026-04-24,Brayan Bello,4,NO,win,10.86,18.00,viable,medium,fire,fire,0.1477,0.1620,162.02,97.75
6959,2026-04-24,Brayan Bello,5,NO,void,0.00,12.00,strong,high,fire,fire,0.2662,0.4077,200.00,0.00
6960,2026-04-24,Gavin Williams,7,YES,loss,-5.85,18.00,viable,high,fire,fire,0.1462,0.1695,169.54,-55.10
6961,2026-04-24,Noah Cameron,5,NO,void,0.00,14.00,strong,high,skip,insufficient_edge,0.0970,0.1736,0.00,0.00
6962,2026-04-24,Gavin Williams,8,YES,loss,-5.43,27.00,dead,low,skip,feasibility_dead,0.1403,0.0000,0.00,0.00
6963,2026-04-24,Michael Lorenzen,6,NO,void,0.00,8.00,strong,high,fire,fire,0.6733,0.8802,200.00,0.00
6964,2026-04-24,Grant Holmes,5,NO,win,7.15,13.00,strong,high,skip,insufficient_edge,0.0366,0.0814,0.00,0.00
6966,2026-04-24,Max Scherzer,5,NO,win,2.72,8.00,strong,high,fire,fire,0.4455,0.5826,200.00,68.00
6967,2026-04-24,Freddy Peralta,4,NO,loss,-5.94,62.00,dead,low,skip,feasibility_dead,0.1208,0.0000,0.00,0.00
6968,2026-04-24,Drew Rasmussen,7,YES,loss,-4.55,18.00,dead,low,skip,feasibility_dead,0.1201,0.0000,0.00,0.00
6969,2026-04-24,Framber Valdez,7,NO,win,2.17,7.00,strong,high,fire,fire,0.5008,0.7310,200.00,62.00
6970,2026-04-24,Brayan Bello,6,NO,void,0.00,7.00,strong,high,fire,fire,0.5679,0.6658,200.00,0.00
6971,2026-04-24,Grant Holmes,6,NO,void,0.00,7.00,strong,high,fire,fire,0.3739,0.5935,200.00,0.00
6972,2026-04-24,Noah Cameron,6,NO,void,0.00,7.00,strong,high,fire,fire,0.4350,0.5560,200.00,0.00
6973,2026-04-24,Freddy Peralta,8,NO,loss,-4.69,7.00,strong,high,fire,fire,0.4375,0.6629,200.00,-134.00
6974,2026-04-24,Framber Valdez,8,NO,void,0.00,5.00,strong,high,fire,fire,0.6947,0.8738,200.00,0.00
6976,2026-04-24,Freddy Peralta,9,NO,void,0.00,5.00,strong,high,fire,fire,0.6290,0.8223,200.00,0.00
6977,2026-04-24,Paul Skenes,6,NO,void,0.00,27.00,strong,high,skip,insufficient_edge,0.0348,0.0904,0.00,0.00
6978,2026-04-24,Andrew Abbott,5,NO,void,0.00,18.00,strong,high,fire,fire,0.3970,0.7026,200.00,0.00
6979,2026-04-24,Brandon Woodruff,6,NO,win,15.86,26.00,strong,high,skip,insufficient_edge,0.0460,0.1003,0.00,0.00
6980,2026-04-24,Paul Skenes,7,NO,void,0.00,15.00,strong,high,fire,fire,0.3448,0.6103,200.00,0.00
6981,2026-04-24,Michael Lorenzen,4,NO,void,0.00,19.00,strong,high,skip,insufficient_edge,0.0783,0.1800,0.00,0.00
6982,2026-04-24,Max Scherzer,4,NO,void,0.00,17.00,strong,high,skip,insufficient_edge,0.0629,0.1230,0.00,0.00
6983,2026-04-24,Freddy Peralta,7,NO,void,0.00,15.00,strong,high,fire,fire,0.1343,0.2827,200.00,0.00
6984,2026-04-24,Framber Valdez,6,NO,void,0.00,14.00,strong,high,fire,fire,0.1901,0.3802,200.00,0.00
6985,2026-04-24,Brandon Woodruff,7,NO,win,4.59,12.00,strong,high,fire,fire,0.3850,0.5454,200.00,76.50
6986,2026-04-24,Paul Skenes,8,NO,void,0.00,10.00,strong,high,fire,fire,0.5670,0.8158,200.00,0.00
6987,2026-04-24,Michael Lorenzen,5,NO,void,0.00,10.00,strong,high,fire,fire,0.4424,0.6967,200.00,0.00
6988,2026-04-24,Gavin Williams,6,YES,loss,-5.49,12.00,strong,high,fire,fire,0.1552,0.2772,200.00,-91.50
6989,2026-04-24,Andrew Abbott,6,NO,win,2.00,8.00,strong,high,fire,fire,0.6634,0.8964,200.00,50.00
6990,2026-04-24,Framber Valdez,5,NO,win,10.88,17.00,viable,high,skip,insufficient_edge,-0.1140,0.0000,0.00,0.00
6991,2026-04-24,Brandon Woodruff,8,NO,void,0.00,9.00,strong,high,fire,fire,0.5907,0.7022,200.00,0.00
6992,2026-04-24,Brayan Bello,4,NO,win,9.65,16.00,viable,medium,fire,fire,0.1477,0.1620,162.02,97.72
6993,2026-04-24,Brayan Bello,5,NO,void,0.00,11.00,strong,high,fire,fire,0.2662,0.4077,200.00,0.00
6994,2026-04-24,Gavin Williams,7,YES,loss,-5.20,16.00,viable,high,fire,fire,0.1462,0.1695,169.54,-55.10
6995,2026-04-24,Noah Cameron,5,NO,void,0.00,12.00,strong,high,skip,insufficient_edge,0.0970,0.1736,0.00,0.00
6996,2026-04-24,Gavin Williams,8,YES,loss,-4.62,23.00,dead,low,skip,feasibility_dead,0.1403,0.0000,0.00,0.00
6997,2026-04-24,Michael Lorenzen,6,NO,void,0.00,7.00,strong,high,fire,fire,0.6733,0.8802,200.00,0.00
6998,2026-04-24,Grant Holmes,5,NO,win,6.05,11.00,strong,high,skip,insufficient_edge,0.0366,0.0814,0.00,0.00
7000,2026-04-24,Max Scherzer,5,NO,win,2.38,7.00,strong,high,fire,fire,0.4455,0.5826,200.00,68.00
7001,2026-04-24,Freddy Peralta,4,NO,loss,-5.17,54.00,dead,low,skip,feasibility_dead,0.1208,0.0000,0.00,0.00
7002,2026-04-24,Drew Rasmussen,7,YES,loss,-0.78,16.00,dead,low,skip,feasibility_dead,0.1201,0.0000,0.00,0.00
7003,2026-04-24,Framber Valdez,7,NO,win,1.86,6.00,strong,high,fire,fire,0.5008,0.7310,200.00,62.00
7004,2026-04-24,Brayan Bello,6,NO,void,0.00,6.00,strong,high,fire,fire,0.5679,0.6658,200.00,0.00
7005,2026-04-24,Grant Holmes,6,NO,void,0.00,6.00,strong,high,fire,fire,0.3739,0.5935,200.00,0.00
7006,2026-04-24,Noah Cameron,6,NO,void,0.00,6.00,strong,high,fire,fire,0.4350,0.5560,200.00,0.00
7007,2026-04-24,Freddy Peralta,8,NO,loss,-4.02,6.00,strong,high,fire,fire,0.4375,0.6629,200.00,-134.00
7008,2026-04-24,Framber Valdez,8,NO,void,0.00,5.00,strong,high,fire,fire,0.6947,0.8738,200.00,0.00
7010,2026-04-24,Freddy Peralta,9,NO,void,0.00,5.00,strong,high,fire,fire,0.6290,0.8223,200.00,0.00
7026,2026-04-25,Jeffrey Springs,6,YES,loss,-17.09,41.00,viable,high,fire,fire,0.3210,0.4109,200.00,-83.37
7027,2026-04-25,Walbert Urena,4,YES,loss,-7.88,33.00,viable,low,size_down,low_trust_size_down,0.4360,0.1332,133.18,-31.80
7028,2026-04-25,Cole Ragans,7,NO,loss,-16.88,61.00,strong,high,fire,fire,0.2175,0.3991,200.00,-55.34
7030,2026-04-25,Brady Singer,5,NO,win,14.77,69.00,strong,high,fire,fire,0.1216,0.2560,200.00,42.81
7031,2026-04-25,Walbert Urena,3,YES,win,2.07,14.00,viable,low,size_down,low_trust_size_down,0.3076,0.1456,145.59,21.53
7033,2026-04-25,Garrett Crochet,7,NO,loss,-167.51,30.00,strong,high,skip,insufficient_edge,0.0120,0.0328,0.00,0.00
7034,2026-04-25,Garrett Crochet,8,NO,win,64.64,22.00,strong,high,fire,fire,0.2921,0.5564,200.00,587.64
7035,2026-04-25,Matthew Liberatore,5,NO,win,7.65,19.00,strong,high,fire,fire,0.3604,0.6323,200.00,80.53
7036,2026-04-25,Ryan Weathers,8,YES,loss,-9.22,58.00,dead,low,skip,feasibility_dead,0.3092,0.0000,0.00,0.00
7037,2026-04-25,Joey Cantillo,5,NO,win,10.83,22.00,fragile,medium,skip,insufficient_edge,-0.0683,0.0000,0.00,0.00
7038,2026-04-25,Ryan Weathers,7,YES,loss,-8.83,29.00,viable,high,fire,fire,0.3065,0.3336,200.00,-60.90
7039,2026-04-25,Kevin Gausman,7,YES,loss,-8.53,28.00,dead,low,skip,feasibility_dead,0.0997,0.0000,0.00,0.00
7040,2026-04-25,Ryan Weathers,6,YES,loss,-8.24,18.00,strong,high,fire,fire,0.2741,0.4767,200.00,-91.56
7041,2026-04-25,Mitch Keller,5,NO,loss,-9.86,18.00,strong,high,skip,insufficient_edge,0.0794,0.1527,0.00,0.00
7042,2026-04-25,Kevin Gausman,8,YES,loss,-8.10,45.00,dead,low,skip,feasibility_dead,0.0914,0.0000,0.00,0.00
7043,2026-04-25,Kevin Gausman,6,YES,loss,-7.48,16.00,viable,high,skip,insufficient_edge,0.0761,0.1097,0.00,0.00
7044,2026-04-25,Germán Márquez,4,YES,loss,-7.56,24.00,viable,medium,fire,fire,0.2900,0.2720,200.00,-63.00
7045,2026-04-25,Jeffrey Springs,8,YES,loss,-7.52,59.00,dead,low,skip,feasibility_dead,0.3228,0.0000,0.00,0.00
7046,2026-04-25,Walbert Urena,7,YES,loss,-3.79,89.00,fragile,low,size_down,fragile_size_down,0.4746,0.0415,41.52,-1.77
7047,2026-04-25,Bryce Elder,6,YES,loss,-7.48,23.00,viable,high,fire,fire,0.3578,0.4090,200.00,-65.04
7048,2026-04-25,Jack Flaherty,6,NO,win,7.88,16.00,dead,low,skip,feasibility_dead,-0.2008,0.0000,0.00,0.00
7049,2026-04-25,Jeffrey Springs,6,YES,loss,-5.42,13.00,viable,high,fire,fire,0.3210,0.4109,200.00,-83.38
7050,2026-04-25,Walbert Urena,4,YES,loss,-2.63,11.00,viable,low,size_down,low_trust_size_down,0.4360,0.1332,133.18,-31.84
7051,2026-04-25,Cole Ragans,7,NO,loss,-5.28,32.00,strong,high,fire,fire,0.2175,0.3991,200.00,-33.00
7053,2026-04-25,Brady Singer,5,NO,win,4.92,34.00,strong,high,fire,fire,0.1216,0.2560,200.00,28.94
7054,2026-04-25,Walbert Urena,3,YES,win,0.74,5.00,viable,low,size_down,low_trust_size_down,0.3076,0.1456,145.59,21.55
7056,2026-04-25,Garrett Crochet,7,NO,loss,-4.09,10.00,strong,high,skip,insufficient_edge,0.0120,0.0328,0.00,0.00
7057,2026-04-25,Garrett Crochet,8,NO,win,3.16,7.00,strong,high,fire,fire,0.2921,0.5564,200.00,90.29
7058,2026-04-25,Matthew Liberatore,5,NO,win,2.41,6.00,strong,high,fire,fire,0.3604,0.6323,200.00,80.33
7059,2026-04-25,Ryan Weathers,8,YES,loss,-3.02,19.00,dead,low,skip,feasibility_dead,0.3092,0.0000,0.00,0.00
7060,2026-04-25,Joey Cantillo,5,NO,win,3.44,7.00,fragile,medium,skip,insufficient_edge,-0.0683,0.0000,0.00,0.00
7061,2026-04-25,Ryan Weathers,7,YES,loss,-2.74,9.00,viable,high,fire,fire,0.3065,0.3336,200.00,-60.89
7062,2026-04-25,Kevin Gausman,7,YES,loss,-2.74,9.00,dead,low,skip,feasibility_dead,0.0997,0.0000,0.00,0.00
7063,2026-04-25,Ryan Weathers,6,YES,loss,-2.75,6.00,strong,high,fire,fire,0.2741,0.4767,200.00,-91.67
7064,2026-04-25,Mitch Keller,5,NO,loss,-3.29,20.00,strong,high,skip,insufficient_edge,0.1044,0.1916,0.00,0.00
7065,2026-04-25,Kevin Gausman,8,YES,loss,-2.55,15.00,dead,low,skip,feasibility_dead,0.0914,0.0000,0.00,0.00
7066,2026-04-25,Kevin Gausman,6,YES,loss,-2.34,5.00,viable,high,skip,insufficient_edge,0.0761,0.1097,0.00,0.00
7067,2026-04-25,Germán Márquez,4,YES,loss,-2.52,8.00,viable,medium,fire,fire,0.2900,0.2720,200.00,-63.00
7068,2026-04-25,Jeffrey Springs,8,YES,loss,-2.23,19.00,dead,low,skip,feasibility_dead,0.3228,0.0000,0.00,0.00
7069,2026-04-25,Walbert Urena,7,YES,loss,-1.09,29.00,fragile,low,size_down,fragile_size_down,0.4746,0.0415,41.52,-1.56
7070,2026-04-25,Bryce Elder,6,YES,loss,-2.28,7.00,viable,high,fire,fire,0.3578,0.4090,200.00,-65.14
7071,2026-04-25,Jack Flaherty,6,NO,win,2.46,5.00,dead,low,skip,feasibility_dead,-0.2008,0.0000,0.00,0.00
7080,2026-04-25,Cole Ragans,5,NO,loss,-40.53,136.00,fragile,medium,skip,insufficient_edge,-0.3647,0.0000,0.00,0.00
7081,2026-04-25,Cole Ragans,6,NO,loss,-39.71,88.00,strong,high,skip,insufficient_edge,-0.0862,0.0000,0.00,0.00
7084,2026-04-25,Cole Ragans,8,NO,loss,-25.99,37.00,strong,high,fire,fire,0.4742,0.6873,200.00,-140.49
7085,2026-04-25,Cole Ragans,5,NO,loss,-20.07,70.00,fragile,medium,skip,insufficient_edge,-0.3647,0.0000,0.00,0.00
7086,2026-04-25,Cole Ragans,6,NO,loss,-20.50,46.00,strong,high,skip,insufficient_edge,-0.0862,0.0000,0.00,0.00
7089,2026-04-25,Cole Ragans,8,NO,loss,-13.30,19.00,strong,high,fire,fire,0.4742,0.6873,200.00,-140.00
7090,2026-04-25,Brady Singer,6,NO,win,4.72,16.00,strong,high,fire,fire,0.4586,0.6895,200.00,59.00
7095,2026-04-25,Jeffrey Springs,7,YES,loss,-16.63,75.00,dead,low,skip,feasibility_dead,0.3566,0.0000,0.00,0.00
7483,2026-04-26,Keider Montero,5,YES,win,38.67,77.00,dead,low,skip,feasibility_dead,0.1687,0.0000,0.00,0.00
7484,2026-04-26,Keider Montero,5,YES,win,13.56,27.00,dead,low,skip,feasibility_dead,0.1687,0.0000,0.00,0.00
7485,2026-04-26,Aaron Nola,5,YES,win,12.49,31.00,strong,high,fire,fire,0.1642,0.3820,200.00,80.58
7486,2026-04-26,Aaron Nola,6,YES,win,22.16,38.00,strong,high,fire,fire,0.1970,0.3257,200.00,116.63
7487,2026-04-26,Aaron Nola,8,YES,loss,-11.58,78.00,dead,low,skip,feasibility_dead,0.2010,0.0000,0.00,0.00
7488,2026-04-26,Aaron Nola,5,YES,win,4.43,11.00,strong,high,fire,fire,0.1642,0.3820,200.00,80.55
7489,2026-04-26,Aaron Nola,6,YES,win,7.58,13.00,strong,high,fire,fire,0.1970,0.3257,200.00,116.62
7490,2026-04-26,Aaron Nola,8,YES,loss,-4.01,27.00,dead,low,skip,feasibility_dead,0.2010,0.0000,0.00,0.00
7491,2026-04-26,Slade Cecconi,4,YES,win,14.37,31.00,strong,high,fire,fire,0.1769,0.3647,200.00,92.71
7492,2026-04-26,Slade Cecconi,5,YES,win,27.48,42.00,dead,low,skip,feasibility_dead,0.2005,0.0000,0.00,0.00
7493,2026-04-26,Slade Cecconi,6,YES,loss,-10.85,57.00,dead,low,skip,feasibility_dead,0.1739,0.0000,0.00,0.00
7494,2026-04-26,Slade Cecconi,4,YES,win,5.28,11.00,strong,high,fire,fire,0.1769,0.3647,200.00,96.00
7495,2026-04-26,Slade Cecconi,5,YES,win,9.16,14.00,dead,low,skip,feasibility_dead,0.2005,0.0000,0.00,0.00
7496,2026-04-26,Slade Cecconi,6,YES,loss,-3.81,20.00,dead,low,skip,feasibility_dead,0.1739,0.0000,0.00,0.00
7497,2026-04-26,Spencer Arrighetti,6,YES,win,24.66,52.00,strong,high,fire,fire,0.2947,0.3968,200.00,94.85
7498,2026-04-26,Spencer Arrighetti,7,YES,win,42.37,68.00,viable,medium,fire,fire,0.3369,0.2775,200.00,124.62
7499,2026-04-26,Spencer Arrighetti,8,YES,win,76.08,101.00,dead,low,skip,feasibility_dead,0.3445,0.0000,0.00,0.00
7500,2026-04-26,Spencer Arrighetti,6,YES,win,8.54,18.00,strong,high,fire,fire,0.2947,0.3968,200.00,94.89
7501,2026-04-26,Spencer Arrighetti,7,YES,win,14.33,23.00,viable,medium,fire,fire,0.3369,0.2775,200.00,124.61
7502,2026-04-26,Spencer Arrighetti,8,YES,win,26.37,35.00,dead,low,skip,feasibility_dead,0.3445,0.0000,0.00,0.00
7503,2026-04-26,Kumar Rocker,5,YES,loss,-11.04,24.00,strong,high,fire,fire,0.1415,0.2207,200.00,-92.00
7504,2026-04-26,Kumar Rocker,6,YES,loss,-10.26,38.00,dead,low,skip,feasibility_dead,0.1705,0.0000,0.00,0.00
7505,2026-04-26,Kumar Rocker,7,YES,loss,-8.40,60.00,dead,low,skip,feasibility_dead,0.1640,0.0000,0.00,0.00
7506,2026-04-26,Kumar Rocker,5,YES,loss,-3.68,8.00,strong,high,fire,fire,0.1415,0.2207,200.00,-92.00
7507,2026-04-26,Kumar Rocker,6,YES,loss,-3.51,13.00,dead,low,skip,feasibility_dead,0.1705,0.0000,0.00,0.00
7508,2026-04-26,Kumar Rocker,7,YES,loss,-2.94,21.00,dead,low,skip,feasibility_dead,0.1640,0.0000,0.00,0.00
7509,2026-04-26,J.T. Ginn,5,YES,loss,-41.40,92.00,viable,medium,fire,fire,0.2068,0.2512,200.00,-90.00
7510,2026-04-26,J.T. Ginn,5,YES,loss,-14.40,32.00,viable,medium,fire,fire,0.2068,0.2512,200.00,-90.00
7511,2026-04-26,Kyle Harrison,6,NO,loss,-34.02,63.00,strong,high,skip,insufficient_edge,0.0509,0.0951,0.00,0.00
7512,2026-04-26,Kyle Harrison,6,NO,loss,-11.88,22.00,strong,high,skip,insufficient_edge,0.0509,0.0951,0.00,0.00
7513,2026-04-26,Carmen Mlodzinski,5,YES,loss,-14.28,28.00,strong,high,fire,fire,0.1637,0.2783,200.00,-102.00
7514,2026-04-26,Carmen Mlodzinski,6,YES,loss,-12.87,39.00,viable,medium,fire,fire,0.1939,0.1925,192.50,-63.52
7515,2026-04-26,Carmen Mlodzinski,7,YES,loss,-10.26,54.00,dead,low,skip,feasibility_dead,0.1878,0.0000,0.00,0.00
7516,2026-04-26,Carmen Mlodzinski,5,YES,loss,-5.30,10.00,strong,high,fire,fire,0.1437,0.2544,200.00,-106.00
7517,2026-04-26,Carmen Mlodzinski,6,YES,loss,-4.29,13.00,viable,medium,fire,fire,0.1939,0.1925,192.50,-63.52
7518,2026-04-26,Carmen Mlodzinski,7,YES,loss,-3.61,19.00,dead,low,skip,feasibility_dead,0.1878,0.0000,0.00,0.00
7519,2026-04-26,Kyle Bradish,8,YES,loss,-12.37,47.00,dead,low,skip,feasibility_dead,0.1731,0.0000,0.00,0.00
7520,2026-04-26,Kyle Bradish,7,YES,loss,-11.96,28.00,viable,high,fire,fire,0.1322,0.1778,177.78,-75.94
7521,2026-04-26,Kyle Bradish,9,YES,loss,-9.86,62.00,dead,low,skip,feasibility_dead,0.1506,0.0000,0.00,0.00
7522,2026-04-26,Kyle Bradish,8,YES,loss,-9.48,36.00,dead,low,skip,feasibility_dead,0.1731,0.0000,0.00,0.00
7523,2026-04-26,Kyle Bradish,7,YES,loss,-8.76,21.00,viable,high,fire,fire,0.1322,0.1778,177.78,-74.16
7524,2026-04-26,Kyle Bradish,9,YES,loss,-7.47,47.00,dead,low,skip,feasibility_dead,0.1506,0.0000,0.00,0.00
